,year,att,std,q_model,g_model,q_accuracy,g_accuracy,response,treat_year
70,1994,4.482666342495793,1.4987256575831722,xgb_100,large_randf,0.7567777513275551,0.8583797236230272,privonly,1998
71,1995,0.6770614886720658,1.5477103233406724,xgb_100,large_randf,0.7567777513275551,0.8583797236230272,privonly,1998
72,1996,1.880287943036007,1.591354251721834,xgb_100,large_randf,0.7567777513275551,0.8583797236230272,privonly,1998
73,1997,-2.9928812962535183,1.6281893481629546,xgb_100,large_randf,0.7567777513275551,0.8583797236230272,privonly,1998
74,1998,0.3372949572043366,1.680815549434949,xgb_100,large_randf,0.7567777513275551,0.8583797236230272,privonly,1998
75,1999,3.9923803966811637,1.6619052308447118,xgb_100,large_randf,0.7567777513275551,0.8583797236230272,privonly,1998
76,2000,2.1271986436954604,1.7350682768096417,xgb_100,large_randf,0.7567777513275551,0.8583797236230272,privonly,1998
77,2001,0.8042340984960505,1.455946803056455,xgb_100,large_randf,0.7567777513275551,0.8583797236230272,privonly,1998
78,2002,-0.5575266766246769,1.4588689988963726,xgb_100,large_randf,0.7567777513275551,0.8583797236230272,privonly,1998
79,2003,-1.4038452490024427,1.4440174523034215,xgb_100,large_randf,0.7567777513275551,0.8583797236230272,privonly,1998
80,2004,-0.5941953478867079,1.4924108415974622,xgb_100,large_randf,0.7567777513275551,0.8583797236230272,privonly,1998
81,2005,-0.5072470402719967,1.4812475060810384,xgb_100,large_randf,0.7567777513275551,0.8583797236230272,privonly,1998
82,2006,-0.7216248736277061,1.4924044872823155,xgb_100,large_randf,0.7567777513275551,0.8583797236230272,privonly,1998
83,2007,-0.3951732892050666,1.4859984158646933,xgb_100,large_randf,0.7567777513275551,0.8583797236230272,privonly,1998
84,2008,-1.2467621912872433,1.4855628884953433,xgb_100,large_randf,0.7567777513275551,0.8583797236230272,privonly,1998
85,1992,1.6649389813342381,1.5520302696149846,xgb_100,large_randf,0.7776224117688164,0.8583797236230272,insured,1998
86,1993,-2.3462254278986334,1.6004168087775157,xgb_100,large_randf,0.7776224117688164,0.8583797236230272,insured,1998
